From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
A0A1I2H9A8	A0A1I2H9A8	unreviewed	A0A1I2H9A8_9ACTN	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	SAMN05216251_110213	Actinacidiphila alni	480	D-gluconate metabolic process [GO:0019521]; organic acid catabolic process [GO:0016054]; pentose-phosphate shunt [GO:0006098]		NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]	GO:0004616; GO:0006098; GO:0016054; GO:0019521; GO:0050661
W6UKK4	W6UKK4	unreviewed	W6UKK4_ECHGR	Pyroglutamylated RFamide peptide receptor	EGR_03510	Echinococcus granulosus (Hydatid tapeworm)	449		membrane [GO:0016020]	neuropeptide Y receptor activity [GO:0004983]	GO:0004983; GO:0016020
A0A2A8HNW4	A0A2A8HNW4	unreviewed	A0A2A8HNW4_9SPHN	3-hydroxyacyl-CoA dehydrogenase C-terminal domain-containing protein	B2G71_20870	Novosphingobium sp. PC22D	173	fatty acid metabolic process [GO:0006631]		oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	GO:0006631; GO:0016616
A0A1L9QUA5	A0A1L9QUA5	unreviewed	A0A1L9QUA5_9CYAN	AAA family ATPase	BI308_07595	Roseofilum reptotaenium AO1-A	419			ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016887
M7C6R7	M7C6R7	unreviewed	M7C6R7_CHEMY	Olfactory receptor 10G7	UY3_02550	Chelonia mydas (Green sea-turtle) (Chelonia agassizi)	218	G protein-coupled receptor signaling pathway [GO:0007186]	membrane [GO:0016020]	olfactory receptor activity [GO:0004984]	GO:0004984; GO:0007186; GO:0016020
A0A1H9Y9N9	A0A1H9Y9N9	unreviewed	A0A1H9Y9N9_9GAMM	Diguanylate cyclase (GGDEF) domain-containing protein	SAMN04487962_10144	Marinobacter segnicrescens	659		membrane [GO:0016020]		GO:0016020
C8XAN2	C8XAN2	unreviewed	C8XAN2_NAKMY	5'-3' exonuclease	Namu_2947	Nakamurella multipartita (strain ATCC 700099 / DSM 44233 / CIP 104796 / JCM 9543 / NBRC 105858 / Y-104) (Microsphaera multipartita)	333	DNA replication, Okazaki fragment processing [GO:0033567]		5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]; exonuclease activity [GO:0004527]	GO:0003677; GO:0004527; GO:0017108; GO:0033567
A0A1G9LU65	A0A1G9LU65	unreviewed	A0A1G9LU65_9FLAO	Acyl-CoA thioester hydrolase	SAMN04488514_102234	Kriegella aquimaris	160			hydrolase activity [GO:0016787]	GO:0016787
D8FEZ1	D8FEZ1	unreviewed	D8FEZ1_9DELT	7TM receptor with intracellular HD hydrolase	NPH_6943	delta proteobacterium NaphS2	824		membrane [GO:0016020]	hydrolase activity [GO:0016787]	GO:0016020; GO:0016787
A0A137SC53	A0A137SC53	unreviewed	A0A137SC53_9GAMM	Methyl-accepting chemotaxis protein I (Serine chemoreceptor protein)	J122_1970	Marinobacter excellens LAMA 842	547	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	membrane [GO:0016020]	transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0006935; GO:0007165; GO:0016020
A0A1S3TUA9	A0A1S3TUA9	unreviewed	A0A1S3TUA9_VIGRR	1,4-dihydroxy-2-naphthoyl-CoA thioesterase 1	LOC106758875	Vigna radiata var. radiata (Mung bean) (Phaseolus aureus)	158			hydrolase activity [GO:0016787]	GO:0016787
S8EK09	S8EK09	unreviewed	S8EK09_9LAMI	14-3-3 a-1 protein	M569_01850	Genlisea aurea	255				
A0A1X7T7P3	A0A1X7T7P3	unreviewed	A0A1X7T7P3_AMPQE	G-protein coupled receptors family 1 profile domain-containing protein		Amphimedon queenslandica (Sponge)	186		membrane [GO:0016020]	G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016020
A0A1B9Y0S6	A0A1B9Y0S6	unreviewed	A0A1B9Y0S6_9FLAO	Acyl-CoA thioesterase II	BA195_01235	Tenacibaculum soleae	288	acyl-CoA metabolic process [GO:0006637]		acyl-CoA hydrolase activity [GO:0047617]	GO:0006637; GO:0047617
B4KXQ8	B4KXQ8	unreviewed	B4KXQ8_DROMO	AAA+ ATPase domain-containing protein	Dmoj\GI11329 Dmoj_GI11329	Drosophila mojavensis (Fruit fly)	873			ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016887
A0A1M7MSD5	A0A1M7MSD5	unreviewed	A0A1M7MSD5_9BACT	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.399) (EC 1.1.1.95) (2-oxoglutarate reductase)	SAMN05444266_11463	Chitinophaga jiangningensis	411	L-serine biosynthetic process [GO:0006564]		NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]	GO:0004617; GO:0006564; GO:0051287
A0A1I4BHC6	A0A1I4BHC6	unreviewed	A0A1I4BHC6_9ACTN	ATPase family associated with various cellular activities (AAA)	SAMN04488085_10347	Geodermatophilus ruber	686			ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016887
A0A1U7SYU9	A0A1U7SYU9	unreviewed	A0A1U7SYU9_ALLSI	Olfactory receptor	LOC102368262	Alligator sinensis (Chinese alligator)	314		plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]; olfactory receptor activity [GO:0004984]	GO:0004930; GO:0004984; GO:0005886
A0A0M8TWC3	A0A0M8TWC3	unreviewed	A0A0M8TWC3_9ACTN	Hydroxyacid dehydrogenase	ADK57_12110	Streptomyces sp. MMG1533	335			NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	GO:0016616; GO:0051287
K2NWX9	K2NWX9	unreviewed	K2NWX9_9HYPH	3-hydroxy-acyl-CoA dehydrogenase (EC 1.1.1.157)	NA8A_03345	Nitratireductor indicus C115	498	cellular catabolic process [GO:0044248]; fatty acid metabolic process [GO:0006631]; organic substance catabolic process [GO:1901575]		3-hydroxybutyryl-CoA dehydrogenase activity [GO:0008691]; NAD+ binding [GO:0070403]	GO:0006631; GO:0008691; GO:0044248; GO:0070403; GO:1901575
D6YBH1	D6YBH1	unreviewed	D6YBH1_THEBD	5'-3' exonuclease	Tbis_1819	Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51)	314	DNA replication, Okazaki fragment processing [GO:0033567]		5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]; exonuclease activity [GO:0004527]	GO:0003677; GO:0004527; GO:0017108; GO:0033567
Q5YU35	Q5YU35	unreviewed	Q5YU35_NOCFA	Putative dehydrogenase	NFA_34580	Nocardia farcinica (strain IFM 10152)	428	steroid biosynthetic process [GO:0006694]		3-beta-hydroxy-delta5-steroid dehydrogenase activity [GO:0003854]	GO:0003854; GO:0006694
A0A1Q7P649	A0A1Q7P649	unreviewed	A0A1Q7P649_9DELT	histidine kinase (EC 2.7.13.3)	AUI19_02905	Myxococcales bacterium 13_1_40CM_2_68_15	461		membrane [GO:0016020]	phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0016020
H3GVN2	H3GVN2	unreviewed	H3GVN2_PHYRM	G-protein coupled receptors family 3 profile domain-containing protein		Phytophthora ramorum (Sudden oak death agent)	786		G protein-coupled receptor heterodimeric complex [GO:0038039]	G protein-coupled GABA receptor activity [GO:0004965]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0004965; GO:0038039
A0A182QFH4	A0A182QFH4	unreviewed	A0A182QFH4_9DIPT	Odorant receptor		Anopheles farauti	615		membrane [GO:0016020]	odorant binding [GO:0005549]; olfactory receptor activity [GO:0004984]	GO:0004984; GO:0005549; GO:0016020
V4IPU4	V4IPU4	unreviewed	V4IPU4_9ACTN	AfsR-like transcriptional regulator	B590_29309	Streptomyces sp. PVA_94-07	600	phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]		DNA binding [GO:0003677]	GO:0000160; GO:0003677; GO:0006355
A0A0S2JF35	A0A0S2JF35	unreviewed	A0A0S2JF35_9GAMM	Proline hydroxylase	CMT41_07930	Colwellia sp. MT41	232			dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0016705; GO:0031418; GO:0051213
K1P699	K1P699	unreviewed	K1P699_CRAGI	G-protein coupled receptors family 1 profile domain-containing protein	CGI_10009766	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	308		membrane [GO:0016020]	G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016020
A4RSI6	A4RSI6	unreviewed	A4RSI6_OSTLU	Fe2OG dioxygenase domain-containing protein	OSTLU_6831	Ostreococcus lucimarinus (strain CCE9901)	255		endoplasmic reticulum membrane [GO:0005789]	dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0005789; GO:0016705; GO:0031418; GO:0051213
A0A1M5USS7	A0A1M5USS7	unreviewed	A0A1M5USS7_9VIBR	D-lactate dehydrogenase (EC 1.1.1.28)	ldhA VA7868_00161	Vibrio aerogenes CECT 7868	184			D-lactate dehydrogenase activity [GO:0008720]; NAD binding [GO:0051287]	GO:0008720; GO:0051287
A0A218P6V6	A0A218P6V6	unreviewed	A0A218P6V6_9EURY	Thioesterase	A3L08_03785	Thermococcus pacificus	138				
A0A1G8L8S8	A0A1G8L8S8	unreviewed	A0A1G8L8S8_9RHOO	AAA+ ATPase domain-containing protein	SAMN05660652_03575	Propionivibrio dicarboxylicus	247				
K0AV14	K0AV14	unreviewed	K0AV14_GOTA9	3H domain-containing protein	Curi_c00220	Gottschalkia acidurici (strain ATCC 7906 / DSM 604 / BCRC 14475 / CIP 104303 / KCTC 5404 / NCIMB 10678 / 9a) (Clostridium acidurici)	166			metal ion binding [GO:0046872]; small molecule binding [GO:0036094]	GO:0036094; GO:0046872
A0A0M9EHB6	A0A0M9EHB6	unreviewed	A0A0M9EHB6_9RHOB	Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)	yidC shim_20310	Shimia sp. SK013	614	protein transport [GO:0015031]	plasma membrane [GO:0005886]	membrane insertase activity [GO:0032977]	GO:0005886; GO:0015031; GO:0032977
A0A1G0ZZQ2	A0A1G0ZZQ2	unreviewed	A0A1G0ZZQ2_9BACT	5'-3' exonuclease domain-containing protein	A2498_04010	Lentisphaerae bacterium RIFOXYC12_FULL_60_16	298	DNA replication, Okazaki fragment processing [GO:0033567]		5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]	GO:0003677; GO:0017108; GO:0033567
A0A183T428	A0A183T428	unreviewed	A0A183T428_SCHSO	Replication factor C subunit 1	SSLN_LOCUS11226	Schistocephalus solidus (Tapeworm)	1073	DNA repair [GO:0006281]; DNA replication [GO:0006260]	DNA replication factor C complex [GO:0005663]; nucleus [GO:0005634]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA clamp loader activity [GO:0003689]	GO:0003677; GO:0003689; GO:0005524; GO:0005634; GO:0005663; GO:0006260; GO:0006281; GO:0016887
F2UF65	F2UF65	unreviewed	F2UF65_SALR5	Fe2OG dioxygenase domain-containing protein	PTSG_06918	Salpingoeca rosetta (strain ATCC 50818 / BSB-021)	427	DNA repair [GO:0006281]		dioxygenase activity [GO:0051213]	GO:0006281; GO:0051213
A0A220SK49	A0A220SK49	unreviewed	A0A220SK49_9GAMM	Cobyric acid synthase	CEK62_05085	Alcanivorax sp. N3-2A	261				
W4MA20	W4MA20	unreviewed	W4MA20_9BACT	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)	ETSY2_13570	Candidatus Entotheonella gemina	382			acyltransferase activity [GO:0016746]	GO:0016746
R6LGK5	R6LGK5	unreviewed	R6LGK5_9FIRM	AAA+ ATPase domain-containing protein	BN515_00869	Firmicutes bacterium CAG:170	504	double-strand break repair [GO:0006302]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0006302; GO:0016887
A0A1H8RUK7	A0A1H8RUK7	unreviewed	A0A1H8RUK7_9GAMM	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.399) (EC 1.1.1.95) (2-oxoglutarate reductase)	SAMN04488052_102251	Aquisalimonas asiatica	389	L-serine biosynthetic process [GO:0006564]		NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]	GO:0004617; GO:0006564; GO:0051287
I4VKZ2	I4VKZ2	unreviewed	I4VKZ2_9GAMM	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	bioD UU5_17992	Rhodanobacter sp. 115	224	biotin biosynthetic process [GO:0009102]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; dethiobiotin synthase activity [GO:0004141]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0004141; GO:0005524; GO:0005737; GO:0009102
A0A0D0E111	A0A0D0E111	unreviewed	A0A0D0E111_9AGAM	NadR/Ttd14 AAA domain-containing protein	PAXRUDRAFT_825090	Paxillus rubicundulus Ve08.2h10	203				
A0A1G7ZNU1	A0A1G7ZNU1	unreviewed	A0A1G7ZNU1_9BRAD	Pilus assembly protein CpaE	SAMN05216338_1005153	Bradyrhizobium sp. Rc2d	401				
A0A180ESL2	A0A180ESL2	unreviewed	A0A180ESL2_9BACT	DRTGG domain-containing protein	A3850_018345	Lewinella sp. 4G2	360				
A0A1D7XPT6	A0A1D7XPT6	unreviewed	A0A1D7XPT6_9FLAO	Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)	yidC FORMA_01390	Formosa sp. Hel3_A1_48	623	protein transport [GO:0015031]	plasma membrane [GO:0005886]	membrane insertase activity [GO:0032977]	GO:0005886; GO:0015031; GO:0032977
A0A1I8C8A5	A0A1I8C8A5	unreviewed	A0A1I8C8A5_9BILA	G_PROTEIN_RECEP_F1_2 domain-containing protein		Rhabditophanes sp. KR3021	147		membrane [GO:0016020]		GO:0016020
A0A0C2UNP5	A0A0C2UNP5	unreviewed	A0A0C2UNP5_9BACL	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	SD71_21240	Cohnella kolymensis	282	butyrate metabolic process [GO:0019605]		3-hydroxybutyryl-CoA dehydrogenase activity [GO:0008691]; NAD+ binding [GO:0070403]	GO:0008691; GO:0019605; GO:0070403
A0A1M5SLB6	A0A1M5SLB6	unreviewed	A0A1M5SLB6_9ALTE	DNA transposition protein, AAA+ family ATPase	SAMN05216361_0021	Marisediminitalea aggregata	343				
A0A1Q6WFM7	A0A1Q6WFM7	unreviewed	A0A1Q6WFM7_9GAMM	NADH-quinone oxidoreductase subunit E (NADH dehydrogenase I subunit E) (NDH-1 subunit E)	AUH10_09475	Gammaproteobacteria bacterium 13_2_20CM_66_19	159			2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	GO:0016491; GO:0046872; GO:0051537
A5D036	A5D036	unreviewed	A5D036_PELTS	ATPase	Soj PTH_2199	Pelotomaculum thermopropionicum (strain DSM 13744 / JCM 10971 / SI)	307				
G0J362	G0J362	unreviewed	G0J362_CYCMS	Diverse 7TM receptor transmembrane region	Cycma_4672	Cyclobacterium marinum (strain ATCC 25205 / DSM 745 / LMG 13164 / NCIMB 1802) (Flectobacillus marinus)	629		membrane [GO:0016020]		GO:0016020
A0A1C8ZSH5	A0A1C8ZSH5	unreviewed	A0A1C8ZSH5_9CREN	ORC1-type DNA replication protein	BFU36_04705	Sulfolobus sp. A20	396	cell division [GO:0051301]; DNA replication [GO:0006260]		ATP binding [GO:0005524]	GO:0005524; GO:0006260; GO:0051301
A0A1I4C3N6	A0A1I4C3N6	unreviewed	A0A1I4C3N6_9FIRM	non-specific protein-tyrosine kinase (EC 2.7.10.2)	SAMN05216390_103130	Lachnospiraceae bacterium KH1T2	476	extracellular polysaccharide biosynthetic process [GO:0045226]; lipopolysaccharide biosynthetic process [GO:0009103]; phosphorylation [GO:0016310]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	GO:0004715; GO:0005524; GO:0005886; GO:0009103; GO:0016310; GO:0045226
A0A1X9LPW7	A0A1X9LPW7	unreviewed	A0A1X9LPW7_9MICO	Chromosome partitioning protein	B5808_07015	Cnuibacter physcomitrellae	277				
A0A1X7P051	A0A1X7P051	unreviewed	A0A1X7P051_9RHOB	Alkylated DNA repair protein (DNA oxidative demethylase)	SAMN05661107_1440	Maritimibacter sp. HL-12	208	DNA repair [GO:0006281]; methylation [GO:0032259]		dioxygenase activity [GO:0051213]; methyltransferase activity [GO:0008168]	GO:0006281; GO:0008168; GO:0032259; GO:0051213
A0A1N6PVG1	A0A1N6PVG1	unreviewed	A0A1N6PVG1_9BACI	Putative ATPase	SAMN05443094_101650	Domibacillus enclensis	426	DNA replication [GO:0006260]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]	GO:0003677; GO:0005524; GO:0006260; GO:0016887
A0A1L9U1F0	A0A1L9U1F0	unreviewed	A0A1L9U1F0_ASPBC	Amino acid permease/ SLC12A domain-containing protein	ASPBRDRAFT_673802	Aspergillus brasiliensis (strain CBS 101740 / IMI 381727 / IBT 21946)	66	transmembrane transport [GO:0055085]	membrane [GO:0016020]		GO:0016020; GO:0055085
A0A1G5RKC0	A0A1G5RKC0	unreviewed	A0A1G5RKC0_9RHOB	Replication-associated recombination protein A	SAMN04488118_11925	Epibacterium ulvae	441	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; SOS response [GO:0009432]		DNA binding [GO:0003677]; four-way junction helicase activity [GO:0009378]	GO:0003677; GO:0006260; GO:0006281; GO:0006310; GO:0009378; GO:0009432
A0A1Q7MNN8	A0A1Q7MNN8	unreviewed	A0A1Q7MNN8_9CREN	Magnesium chelatase	AUI97_02030	Crenarchaeota archaeon 13_1_40CM_3_52_17	316			ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016887
W2EX42	W2EX42	unreviewed	W2EX42_9ACTN	DNA repair protein RadA	radA MPTA5024_14350	Microbispora sp. ATCC PTA-5024	485	recombinational repair [GO:0000725]		ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; metal ion binding [GO:0046872]	GO:0000725; GO:0003684; GO:0005524; GO:0046872; GO:0140664
A0A173LFC7	A0A173LFC7	unreviewed	A0A173LFC7_9ACTN	Helicase IV	BJL86_0114	Dietzia timorensis	649			ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]	GO:0003677; GO:0003678; GO:0005524; GO:0016787
A0A0H2L0E4	A0A0H2L0E4	unreviewed	A0A0H2L0E4_9MICO	ATPase AAA	FB00_16610	Cellulosimicrobium funkei	692			ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]	GO:0003677; GO:0003678; GO:0005524
Q97XJ7	Q97XJ7	unreviewed	Q97XJ7_SACS2	ATPase AAA-type core domain-containing protein	SSO1739	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	315			ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016887
B8BXB9	B8BXB9	unreviewed	B8BXB9_THAPS	Member of the HSP104/clp superfamily	HSP104 THAPSDRAFT_39824	Thalassiosira pseudonana (Marine diatom) (Cyclotella nana)	926	cellular response to heat [GO:0034605]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0005737; GO:0016887; GO:0034605
